Key,Id,English(en),Korean(ko)
103,,"NOVA, first of all, the ship's emergency level Red has been declared. The rest of the crew seems to have gone overboard, but the stairs are blocked, so we have to go to the cargo bay. How's the cargo bay? ","NOVA, 일단 선내에 비상 단계 Red가 발령되었어. 다른 선원들은 선외로 나간 거 같은 데, 계단이 막혀있어서 화물실로 가야해. 화물실 상태는 어때?"
104,,It is difficult to assess the condition of the cargo bay as no other major systems besides electricity have been restored.,현재 전기 이외의 다른 주요 시스템이 복구 되지 않아 화물실의 상태를 파악하기 어렵습니다.
105,,"The electricity is back up, the cargo bay should be open. I'll have to go and check the cargo elevator.",일단 전기를 복구 했으니 화물실은 열렸겠지? 가서 화물 엘리베이터를 확인해야 겠어.
106,,"The route to the cargo bay has been mapped, but with the ship's major systems currently unstable, there is a high possibility of additional problems.",화물실 경로를 지도에 표시했습니다. 하지만 현재 선박의 주요 시스템이 복구되지 않은 상태에서는 추가적인 문제가 발생할 가능성이 높습니다.
107,,"If a problem arises, I can solve it then.",문제가 생기면 그때 해결하면 돼.
108,,WARNING: Serious hazard detected in engine room. Immediate inspection required.,경고: 기관실에서 심각한 위험이 감지되었습니다. 즉각적인 점검이 필요합니다.
109,,What? Engine room? I can't go there right now. I have to find other people first!,뭐? 기관실이라고? 지금 당장 갈 수는 없어. 다른 사람들을 먼저 찾아야 한다고!
110,,"If the current error condition is left unattended, it could potentially result in catastrophic damage to the entire ship. I recommend that you move to the engine room to protect your systems.",현재 오류 상태를 방치하면 선박 전체에 치명적인 손상을 입을 가능성이 있습니다. 시스템 보호를 위해 기관실로 이동하실 것을 권장합니다.
111,,"While I'm groaning in the engine room, the other crew members might abandon me.",기관실에서 끙끙 대는 사이에 다른 선원들이 날 버릴지 몰라.
112,,"But if the engine room problems aren't addressed, serious problems could arise before you even get overboard.",하지만 기관실의 문제를 해결 하지 않으면 선외로 올라가기 전에 심각한 문제가 발생할 수 있습니다.
113,,"Damn it. If they abandon ship while I'm fixing the engine, you are totally dead.","젠장, 기관을 고치는 사이에 다들 퇴선 하면 넌 물고기 밥이다."
114,,The engine coolant circulation system has failed. The current temperature is approaching a dangerous level and if not restored within 5 minutes the engine will overheat.,엔진 냉각수 순환 시스템이 고장 났습니다. 현재 온도가 위험 수준에 가까워지고 있고 약 5분 내에 복구하지 않으면 엔진이 과열됩니다.
115,,Turn off the siren right away and say what do you need!,빨리 사이렌 좀 끄고 필요한 걸 말해!
116,,Check the coolant pipe status on the console and make sure that the coolant is connected to the engine. Solve the problem through the valve and spare pipe.,콘솔에서 냉각수 파이프 현황을 확인하시고 냉각수가 엔진과 연결되도록 해야 합니다. 밸브와 예비 파이프를 통해 문제를 해결 해야합니다.
117,,Okay… So I just need to adjust the valve and connect the spare pipe?,좋아….밸브를 조정하고 예비 파이프를 연결하면 된다는 거지?
118,,Engine restore complete. State: Working normally,기관 복구 작업 완료. 엔진 상태: 정상 작동
119,,Now I can take a breath…,이제 한숨 돌릴 수 있겠어….
120,,"Now, checking the system logs. Analyze the trace records of the crew's actions.","현재, 함내 시스템 로그 확인 중입니다. 마지막으로 기록된 선원들의 행적을 분석합니다"
121,,"Anyway, why don't they find me even if they know the electrical and engine are fixed?","그런데, 전기와 기관이 고쳐진 걸 조타실에서도 알 수 있을 텐데 왜 나를 찾지 않는 거지?"
122,,Log analysis complete. Reporting the trace records of the crew's actions. All crew members have moved overboard and left the ship using emergency boats.,"로그 분석 완료. 선원들의 마지막 행적을 보고합니다. 모든 선원은 선외로 이동한 뒤, 비상용 보트를 사용해 배를 떠났습니다."
123,,What? Did they get off the boat? Why did they leave me behind and get off the boat in such a hurry?,뭐? 날 두고 떠났다고? 왜 날 버리고 급하게 퇴선한거야?
124,,"As of now, couldn't know about the reason of leaving the ship. But if you analyze the data of the wheel house, you can understand the situation.",현재로서는 퇴선 이유를 알 수 없습니다. 하지만 조타실에 기록된 데이터를 분석한다면 퇴선 당시 상황을 파악 할수 있을 것입니다.
125,,"Though I'm suffering here... . Damn, I have to go to the wheel house.","내가 여기서 이 고생을 하고 있는데…. 젠장, 조타실로 가야겠어."
126,,Next goal proposal: Get out overboard from cargo bay → analyze data at the wheel house,다음 목표 제안 : 화물실에서 선외로 이동 → 조타실에서 데이터 분석하기
127,,"Wait, what happened to the elevator?",아니 엘리베이터는 상태가 왜 이런건데?
128,,Cause of the accident: Forklift operator error. The collision caused serious damage to the elevator entrance and stair structure.,사고 원인: 지게차의 조작 오류. 충돌로 인해 엘리베이터 입구와 계단 구조물에 심각한 손상이 발생했습니다.
129,,"Damn, then putting the cause aside, is it working properly upstairs?","젠장, 일단 사고 원인 같은 것은 제쳐 두고 위층에서 엘리베이터는 작동되는 거야?"
130,,You can use cargo elevator normally at B1F.,현재 B1F에서 화물 엘리베이터를 정상적으로 이용할 수 있습니다.
131,,Right. Then how can I go upstairs?,좋아. 그럼 윗층으로 올라갈 방법이 있을까?
132,,"Forklift can operate normally if you have key. If you make a temporary structure with forklift, you can go upstairs enough.",현재 화물실의 지게차는 열쇠만 있다면 작동할 수 있습니다. 지게차를 활용해 팔레트를 옮겨 임시 구조물을 만든다면 충분히 위로 올라 갈 수 있을 것입니다.
133,,"I've never driven forklift, so can you drive it and make a temporary structure?","지게차를 운전해본적이 없는데, 네가 지게차를 조종해서 임시 구조물을 좀 만들어줄래?"
134,,"The forklift is operated in an analog manner, so direct driving through this system is difficult. Please refer to the driving manual in the vehicle.",지게차는 아날로그 방식으로 운영되어 본 시스템을 통한 직접 운전은 어렵습니다. 차내의 운전 매뉴얼을 참고해주세요
135,,"Is it right to let unlicensed driver drive the forklift? It seems like it's somewhat useful, but also not really...",지게차 사고난 곳에 무면허 운전을 시키는게 맞아? 애매하게 쓸모가 있는 듯 없단 말이야….
200,,What... What the hell was happening? What are these bloodstains?,이건… 무슨 일이 있었던 거야? 이 핏자국은 뭔데?
201,,"Based on the evidence of gun use and bloodstains, it appears that an armed conflict occurred here.","확인 결과, 총기의 사용 흔적과 혈흔을 보니 이곳에서 무력 충돌이 있었던 것으로 보입니다."
202,,Did pirates invade?,해적이라도 들이닥친 거야?
203,,"Looking at the system logs, it seems more likely that there was internal strife among the crew rather than an external intrusion.","시스템 로그를 살펴 봤을 때, 외부 침입 보다는 선원들 사이에 내분이 발생했을 가능성이 높습니다."
204,,"This is ridiculous. They didn't just run away, they fought and killed each other? Why did you leave me on this ship in this situation?","이건 말도 안 돼. 그냥 도망쳤으면 모를까, 서로 싸우고 죽였다고? 이런 상황에서 나를 이 배에 남겨둔 이유는 뭐야?"
205,,"As I mentioned in the cargo bay, if you analyze the data in the wheelhouse, you will be able to get more detailed information.",화물실에서 말씀드렸던 것과 마찬가지로 조타실에서 데이터를 분석한다면 자세한 내용을 알 수 있을 것입니다.
206,,"NOVA, this console manage the communication system. Right?","NOVA, 이 콘솔이 통신 시스템을 관리하는 거지?"
207,,That's right. You need to enter a password to access the communication system.,네 맞습니다. 현재 통신 시스템에 접속하려면 패스워드 입력이 필요합니다.
208,,How the hell do I know the password?,내가 패스워드를 어떻게 알아?
209,,"Currently, there is a hint in case you lose your password. I recommend that you use the hint to guess the password.","현재, 패스워드 분실 시를 대비한 힌트가 있습니다. 힌트를 통해 패스워드를 추론하는 것을 추천드립니다."
210,,Let me see the hint.,힌트 한번 보여줘봐
211,,"Among the files currently remaining on the console, there are automatically recorded files. Since automatic recording always leaves only the most recent, the situation at the time of abandonment may remain.",현재 콘솔에 남은 파일 중에 자동 녹음된 파일이 있습니다. 자동 녹음은 항상 최신만을 남겨두기 때문에 퇴선 시의 상황이 남겨져 있을 수 있습니다.
212,,"Okay, let's listen to it.",좋아. 한번 들어보자
213,,Analyzing the remaining data within the system.,시스템 내에서 남아있는 데이터를 분석하겠습니다.
214,,Let me know reason why I am left alone here.,왜 내가 여기 남겨 졌는지 알아봐줄래?
215,,"After analyzing the data, I was able to recover some of the conversation that took place in the wheelhouse. It is playing now.","데이터를 분석한 결과, 조타실에서 발생한 대화 내용 일부를 복구했습니다. 지금 재생합니다."
216,,The bloodstains on the deck house must be bosun's. They killed the bosun and ran away to save themselves… and left me here!,데크 하우스의 피는 갑판장의 것이겠군…. 갑판장을 죽이고 자기네들만 살겠다고 도망친거지…. 나를 여기에 남겨두고!
217,,"Based on the recording and the bloodstains, it appears that the bosun resisted and opposed the captain's plan.","녹음 파일 내용과 피의 흔적을 종합했을 때, 갑판장이 선장의 계획에 반대하며 저항한 것으로 보입니다."
218,,"I can't forgive them! NOVA, we can send a distress signal. Right?","절대로 용서할 수 없어! NOVA, 여기서 구조신호를 보낼 수 있지? "
219,,"The communication system and distress signals have a slightly different system. To send a signal, the captain's security key must be connected to the console.",통신 시스템과 구조신호는 조금 다른 체계를 가지고 있습니다. 신호를 보내려면 선장의 보안키를 콘솔에 연결 해야 합니다.
220,,... First I need to go captain's cabin and find security key.,…일단 선장실로 가서 보안키를 찾아야 겠어.
221,,"Separately from this, are you okay? If you fail to defend yourself properly after you send a distress signal, you will end up having been framed.","이와는 별개로 괜찮으시겠습니까? 구조 신호를 보냈을 때, 제대로 변호하지 못하신다면 결국 누명을 쓰게 될 것입니다."
222,,"I came to get the security key, but I think there's something suspicious.","보안키를 찾으러 왔는데, 더 수상한 것이 있을 같은데…."
223,,This room seems to be a secret storage facility for smuggling and operational planning with the rebels. Here you can find materials that will clear your name.,이 방은 반군과의 밀수 및 작전 계획을 위한 비밀 보관소로 보입니다. 여기서 당신의 누명을 벗을 만한 자료를 얻을 수 있을 것입니다.
224,,Drones and biochemical weapons… This ship is a disaster for Corvia. It must be revealed.,드론에 생화학 무기…. 이 정도면 이 배는 코르비아의 재앙이야. 반드시 밝혀져야 해
225,,"By looking at the list contained in the document, if it had fallen into the hands of the rebels, there could have been numerous civilian casualties.","문서에 담긴 목록을 살펴 보았을 때, 반군에게 넘어간다면 수많은 민간인 사상자가 발생 할 수 있습니다."
226,,"Fortunately, this document has the captain's signature. We will be able to erase our names if we send a distress signal.",다행히 이 문서에는 선장의 서명이 적혀 있어. 구조 신호를 보내더라도 누명을 벗겨낼 수 있을 거야.
227,,"According to the document, the captain planned to place all the blame on you. If you use this, it can be strong evidence for the accusation.",문서에 따르면 선장은 모든 책임을 당신에게 돌릴 계획이었습니다. 이걸 활용한다면 고발을 위한 강력한 증거가 될 수 있습니다.
228,,"He didn't abandon the ship and run away, he just tried to put the blame on me... I can't just let this go.",선장은 이 배를 포기하고 도망친 게 아니라 나한테 모든 걸 뒤집어씌우려고 한 거였군… 절대 그냥 넘어갈 순 없어.
300,,Finally I'm here…,드디어 여기까지 왔어…
301,,Congratulations. You can now link your security key to the wheelhouse console and send out a distress signal.,축하드립니다. 이제 보안키를 조타실 콘솔에 연결하시면 구조 신호를 보낼 수 있게 됩니다.
302,,"Thank you, NOVA. If you weren't here, I couldn't.","고맙다. NOVA, 네가 없었다면 여기까지 올 수 없었을 거야."
303,,"It's too early to be thankful. Even if you send a distress signal, it's not a complete escape. You'll have to fight a lonely battle with the evidence you've collected.",아직 감사받기에는 이릅니다. 구조신호를 보내시더라도 아직 완전한 의미의 탈출은 아닙니다. 수집한 증거들을 가지고 고독한 싸움을 하셔야 할 것입니다.
304,,… Okay. Let’s go to the wheelhouse.,…그래. 조타실로 가자
305,,"Inserting the security key will activate all communication systems. Are you ready to send a distress signal, Albert?","보안키를 삽입하면 통신 시스템이 완전히 활성화됩니다. 구조 신호를 보낼 준비가 되었습니까, 알버트?"
306,,… It’s hard to say I’m perfectly ready when I think about what happens after this. But I have no other choice.,…이 뒤에 있을 일을 생각하면 준비가 되었다고 하긴 어렵겠지. 하지만 다른 선택이 없어
307,,That's right. This ship can no longer continue to drift. The only way to resolve the situation is to send a distress signal.,맞습니다. 이 배는 이제 더 이상 표류를 계속할 수 없습니다. 구조 신호를 보내야만 상황이 해결될 것입니다.
308,,"Yes, if I send a distress signal, the government forces will investigate this ship. I and everything on board will be exposed.","그래, 구조 신호를 보내면 정부군이 이 배를 조사하겠지. 나도, 여기에 실린 것들도 모두 들통날 거야."
309,,"Based on the evidence collected, there is enough evidence to prove your innocence. There is a list of contraband items found in the captain's cabin, a plan of operation, and even contraband items in the cargo bay. All of this will ensure your innocence.","수집된 증거로 미루어 볼 때, 당신의 무고함을 입증할 자료는 충분합니다. 선장실에서 발견한 밀수품 목록, 작전 계획서 그리고 화물실의 밀수품 까지 있습니다. 그 모든 것이 당신의 결백을 보장할 것입니다."
310,,Though I have to go to jail for a while… Am I leaving here as a smuggler or a proud civilian indeed?,그래도 당분간 감옥에 신세는 져야 할거야…. 과연 나는 밀수범으로 나가는 걸까 아니면 당당한 시민으로 나가는 걸까?
311,,"The result can only be known by inserting the security key and sending a distress signal. If you don't send it now, you, this ship, and its dangerous cargo will be buried forever at sea.","그 결과는 보안키를 삽입해, 구조 신호를 보내야만 알 수 있습니다. 지금 보내지 않는다면 당신은 물론이고 이 배와 위험한 화물들이 영영 바다에 묻히겠지요."
312,,"Okay, at least I didn't run away.",알겠어. 적어도 난 도망치지 않았으니까.
313,,Good. Now insert the security key and send a distress signal.,좋습니다. 이제 보안키를 삽입하시고 구조신호를 보내십시오.
400,,"You know exactly what's on this ship, right? If we get caught, we'll be executed at the very least! There's a patrol ship nearby. If we delay any longer, we'll be caught. Move quickly!",이 배에 실린 물건이 뭔지 똑똑히 알고 있지? 만약 들키면 우린 최소 사형이야! 초계선이 근처에 있어. 더 이상 지체하면 잡히고 말거야 빨리 움직여!
401,,"Wait, captain! Isn't it too early to give up when we haven't been caught by the patrol yet?","잠깐, 선장! 아직 초계선에 들키지도 않았는 데 벌써 포기 하기는 이른거 아닌가?"
402,,"Bosun, now is not the time to be so idealistic. If we get caught, we'll all die. Just do as the captain says!","갑판장, 지금 그런 이상론 펼칠 때가 아니야. 우리가 붙잡히면 다 죽는 거야. 그냥 선장 말대로 하자고!"
403,,"If we leave now, we can cover up our sins to the engineer. It's sorry for the rebels, but we have to live.",지금 나가면 저 엔지니어에게 죄를 덮을 수 있을거야. 반군에게는 아쉬운 일이지만 우리가 살고 봐야지.
404,,"Ha! Not only are you breaking the contract, you're also framing someone else? You fucking bastards. I can't give up here. I'll report this to the rebels.",하! 계약을 어길뿐만 아니라 누명까지 씌운다고? 이 개같은 놈들 여기서 포기할 수 없어. 이 사태를 반군에 보고하겠어.
405,,This is a rebellion! Shoot him!,"지금 너희 행동은 반란이야! 조타장, 쏴버려!"
